"","x"
"sodium",4.03187112720393
"potassium",0.671076953167305
"pre.urea",10.4139692558126
"chloride",5.95577432635778
"calcium",0.206695404187108
"corrected.ca",0.195864421712004
"total.co2",3.71404474330377
"phosphate",0.557515961998331
"hemoglobin",15.3014602005338
"ca.x.p",1.22166326674007
"wbc",3.87503672290877
"pre.creatinine",205.339961500293
"platelets",93.4881677212095
"albumin",5.25908388563654
"magnesium",0.177321510213371
"glucose.r",4.63759798948587
"post.urea",6.83668263960822
"urr",1
"post.creatinine",121.401773094757
"pth",45.8990539702841
"total.bilirubin",0.439214077449196
"%.sat",10.1880074344002
"alt",0.619235945629265
"ast",0.492809117986947
"total.protein",7.90073065563465
"uric.acid",124.014837419631
"alk.phos",0.463553955640175
"ferritin",1.0192493536246
"tibc",8.28492654339461
"iron.lvl",0.440628936045496
"uibc",8.56732550440665
"hgba1c",1.36378132770761
